movieId,title,genres_text,content_score,collaborative_score,popularity_normalized,hybrid_score
78499,Toy Story 3,Animation Family Comedy,0.5232338523580954,0.6613228854208404,0.7361208389341675,0.6173069652227414
3114,Toy Story 2,Animation Comedy Family,0.45476246530949727,0.6194919787326092,0.7090507543656525,0.5670339897083209
35836,The 40 Year Old Virgin,Comedy Romance,0.30965545805191685,0.6182891208340409,0.6258039264581394,0.4959628765648061
318,The Shawshank Redemption,Drama Crime,0.07215464081883194,0.7335120506255592,0.8246224078799653,0.4826356402910293
1103,Rebel Without a Cause,Drama,0.17237766833928503,0.6574184497961598,0.6656378601381465,0.46463504876470785
4886,"Monsters, Inc.",Animation Comedy Family,0.08021242554505637,0.6218483764032725,0.7323942373143867,0.42177587519665316
955,Bringing Up Baby,Comedy Romance,0.05980027282814304,0.6567359381828884,0.654969846135073,0.4176967582338179
41285,Match Point,Drama Thriller Crime Romance,0.10078410628264745,0.5913498620770902,0.6782609044393375,0.40816021611365016
766,I Shot Andy Warhol,Drama,0.08073593661246159,0.6118381182030577,0.6354931696769865,0.40294550328790857
7096,Rivers and Tides,Documentary Foreign,0.1600929624486752,0.536425136523998,0.6372883665718432,0.4010217514010457
