movieId,title,vote_count,vote_average,weighted_score
318,The Shawshank Redemption,8358.0,8.5,8.246224078799653
858,The Godfather,6024.0,8.5,8.163380782472258
58559,The Dark Knight,12269.0,8.3,8.1371308208051
2959,Fight Club,9678.0,8.3,8.098071041533549
296,Pulp Fiction,8670.0,8.3,8.077292300630898
356,Forrest Gump,8147.0,8.2,7.976872133392303
79132,Inception,14075.0,8.1,7.971293610765232
109487,Interstellar,11187.0,8.1,7.9411051847281
1196,The Empire Strikes Back,5998.0,8.2,7.909562300811385
527,Schindler's List,4436.0,8.3,7.907752871106504
