movieId,title,genres_text,vote_average,content_score,weighted_score
78499,Toy Story 3,Animation Family Comedy,7.6,0.5232338523580954,7.361208389341675
3114,Toy Story 2,Animation Comedy Family,7.3,0.45476246530949727,7.090507543656525
35836,The 40 Year Old Virgin,Comedy Romance,6.2,0.30965545805191685,6.258039264581394
1103,Rebel Without a Cause,Drama,7.6,0.17237766833928503,6.656378601381466
49220,For Your Consideration,Comedy Drama,5.9,0.16120076261476246,6.344793912224439
7096,Rivers and Tides,Documentary Foreign,7.3,0.1600929624486752,6.372883665718431
3174,Man on the Moon,Comedy Drama Romance,6.9,0.14689510338807632,6.514294762721461
2041,Condorman,Comedy Action Adventure,5.6,0.1452100785209247,6.337925626522316
490,Malice,Drama Crime,5.9,0.13815048213076797,6.322749365063496
51174,Factory Girl,Drama,6.2,0.1360257960202812,6.351042288650024
